Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Apartment,3 BHK,Kompally Hyderabad,2700 sqft,Poss. by Jun '27,,Unfurnished,,New Property,"₹7,000 per sqft"
,Apartment,3 BHK,HUDA Layout Nalagandla Hyderabad,1500 sqft,Ready to Move,5 out of 20,Semi-Furnished,West,Resale,"₹10,000 per sqft"
,Apartment,2 BHK,Kukatpally,1235 sqft,Ready to Move,4 out of 5,Furnished,East,Resale,"₹7,935 per sqft"
,Apartment,4 BHK,Narsingi,2630 sqft,Ready to Move,1 out of 18,Semi-Furnished,East,Resale,"₹8,745 per sqft"
,Apartment,4 BHK,Kondapur Hyderabad,3160 sqft,Ready to Move,20 out of 20,Unfurnished,East,Resale,"₹14,494 per sqft"
,Apartment,4 BHK,Gachibowli Hyderabad,2490 sqft,Ready to Move,10 out of 22,Semi-Furnished,East,Resale,"₹28,112 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2390 sqft,Ready to Move,7 out of 20,Semi-Furnished,East,Resale,"₹15,983 per sqft"
,Apartment,3 BHK,Narsingi,1960 sqft,Ready to Move,9 out of 15,Unfurnished,West,New Property,"₹8,800 per sqft"
,Apartment,3 BHK,Ameenpur Hyderabad,1275 sqft,Ready to Move,5 out of 5,Unfurnished,West,New Property,"₹5,200 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1495 sqft,Ready to Move,9 out of 26,Unfurnished,East,Resale,"₹11,639 per sqft"
,Apartment,3 BHK,Tellapur,2550 sqft,Ready to Move,35 out of 40,Unfurnished,West,New Property,"₹9,882 per sqft"
,Apartment,3 BHK,Alkapoor Hyderabad,1300 sqft,Ready to Move,4 out of 5,Unfurnished,East,New Property,"₹7,333 per sqft"
,Apartment,4 BHK,Nalagandla Hyderabad,2765 sqft,Ready to Move,23 out of 26,Unfurnished,East,New Property,"₹13,092 per sqft"
,Villa,4 BHK,Kollur,3000 sqft,Ready to Move,,Unfurnished,West,New Property,"₹11,633 per sqft"
,Apartment,3 BHK,Deepthisri Nagar,2000 sqft,Ready to Move,1 out of 4,Unfurnished,North,New Property,"₹6,200 per sqft"
,Apartment,3 BHK,Alkapur Township,1400 sqft,Ready to Move,Ground out of 5,Semi-Furnished,East,Resale,"₹11,250 per sqft"
,Apartment,2 BHK,Vishali Nagar Hyderabad,1250 sqft,Ready to Move,2 out of 5,Semi-Furnished,North,New Property,"₹6,800 per sqft"
,Apartment,3 BHK,Phase 2 HITEC City Hyderabad,1750 sqft,Ready to Move,11 out of 35,Unfurnished,East,New Property,"₹10,400 per sqft"
,Villa,4 BHK,Kondapur Hyderabad,3610 sqft,Ready to Move,,Unfurnished,East,Resale,"₹20,776 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1655 sqft,Poss. by Jun '27,2 out of 18,Unfurnished,East,New Property,"₹9,325 per sqft"
,Villa,3 BHK,Kompally Hyderabad,2600 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹8,889 per sqft"
,Apartment,3 BHK,Narsingi,1400 sqft,Ready to Move,8 out of 33,Semi-Furnished,East,Resale,"₹12,159 per sqft"
,Apartment,3 BHK,Alkapoor Hyderabad,2320 sqft,Poss. by Dec '29,15 out of 36,Unfurnished,East,New Property,"₹8,492 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1919 sqft,Ready to Move,15 out of 32,Semi-Furnished,East,New Property,"₹13,549 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1212 sqft,Ready to Move,12 out of 26,Unfurnished,East,Resale,"₹12,329 per sqft"
,Villa,3 BHK,Patancheruvu Hyderabad,2036 sqft,Ready to Move,,Semi-Furnished,East,New Property,"₹7,122 per sqft"
,Apartment,3 BHK,Serilingampalle M Hyderabad,1877 sqft,Ready to Move,17 out of 50,Unfurnished,West,New Property,"₹9,963 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2225 sqft,Ready to Move,10 out of 19,Semi-Furnished,West,Resale,"₹14,764 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1400 sqft,Ready to Move,25 out of 36,Unfurnished,West,Resale,"₹11,800 per sqft"
,Apartment,2 BHK,Puppalguda Hyderabad,1341 sqft,Ready to Move,6 out of 31,Unfurnished,West,Resale,"₹11,559 per sqft"
,House,5 BHK,MLR Colony Dammaiguda Hyderabad,,Ready to Move,,Furnished,West,Resale,"₹11,976 per sqft"
,Apartment,3 BHK,Miyapur,1555 sqft,Ready to Move,4 out of 9,Semi-Furnished,West,Resale,"₹7,188 per sqft"
,Apartment,3 BHK,Power Welfare Society Hyderabad,2944 sqft,Ready to Move,25 out of 33,Unfurnished,,Resale,"₹13,791 per sqft"
,Apartment,3 BHK,Gopanpalle Hyderabad,1250 sqft,Ready to Move,12 out of 12,Semi-Furnished,East,Resale,"₹10,000 per sqft"
,Apartment,2 BHK,Moti Nagar Erragadda Hyderabad,895 sqft,Ready to Move,2 out of 5,Furnished,West,Resale,"₹7,778 per sqft"
,Apartment,2 BHK,Bachupally Hyderabad,792 sqft,Ready to Move,26 out of 33,Semi-Furnished,East,Resale,"₹7,784 per sqft"
,House,5 BHK,Old Alwal Hyderabad,1100 sqft,Ready to Move,,Semi-Furnished,,Resale,"₹16,250 per sqft"
,Apartment,2 BHK,Nizampet Hyderabad,1020 sqft,Ready to Move,1 out of 5,Unfurnished,East,Resale,"₹5,963 per sqft"
,Apartment,2 BHK,Kompally Hyderabad,1250 sqft,Ready to Move,13 out of 15,Semi-Furnished,West,Resale,"₹7,597 per sqft"
,Apartment,2 BHK,Bandlaguda Jagir Hyderabad,1300 sqft,Ready to Move,4 out of 15,Unfurnished,East,Resale,"₹7,473 per sqft"
,Apartment,4 BHK,Kompally Hyderabad,2498 sqft,Ready to Move,7 out of 8,Semi-Furnished,East,Resale,"₹8,009 per sqft"
